,code,lat,lon,city,name
2546,REC,-8.1261,-34.9225,Recife,Gilberto Freyre International Airport
2547,REG,38.0731,15.6498,Reggio di Calabria,Reggio Calabria Airport
2548,REL,-43.2111,-65.2681,Trelew,Trelew Almirante Zar Airport
2549,REN,51.7953,55.4498,Orenburg,Orenburg East Airport
2550,REP,13.4092,103.816,Siemrap,Siem Reap Airport
2551,RES,-27.4514,-59.0508,Makallé,Resistencia Airport
2552,REU,41.1444,1.15631,Reus,Reus Airport
2553,REX,26.0133,-98.2319,Reynosa,Reynosa International Airport
2554,RFD,42.2035,-89.0955,Rockford,Greater Rockford Airport
2555,RFP,-16.7167,-151.467,Papeete,Raiatea Island Airport
2556,RGA,-53.7792,-67.7667,Río Grande,Rio Grande Airport
2557,RGI,-14.9516,-147.649,Papeete,Rangiroa Airport
2558,RGL,-51.6092,-69.3131,Río Gallegos,Rio Gallegos Airport
2559,RGN,16.9064,96.1389,Insein,Mingaladon Airport
2560,RHI,45.626,-89.4626,Rhinelander,Rhinelander-Oneida County Airport
2561,RHO,36.4044,28.0867,Rodhos,Paradisi Airport
2562,RIA,-29.7106,-53.6875,Santa Maria,Santa Maria Airport
2563,RIB,-11.0167,-66.0833,Riberalta,Gen. Buech Airport
2564,RIC,37.5108,-77.3332,Richmond,Richmond International Airport
2565,RIG,-32.0819,-52.1664,Rio Grande,Rio Grande Airport
2566,RIS,45.2419,141.186,Rishirifuji-cho,Rishiri Airport
2567,RIV,33.8806,-117.259,Alessandro,March Air Force Base
2568,RIW,43.0611,-108.458,Riverton,Riverton Regional Airport
2569,RIX,56.9231,23.9717,Marupe,Riga Airport
2570,RIY,14.6611,49.3761,Shuhayr,Riyan Airport
2571,RJA,17.1081,81.82,Kapavaram,Rajahmundry Airport
2572,RJK,45.2167,14.5683,Rijeka,Rijeka Krk Airport
2573,RJL,42.4563,-2.31476,Logrono,Agoncillo
2574,RJN,30.2803,57.067,Rafsanjan,Kerman
2575,RKD,44.0612,-69.0943,Owls Head,Knox County Regional Airport
