,code,lat,lon
664,CXB,21.45,91.9681
665,CXH,49.5912,-125.848
666,CXI,1.9849,-157.675
667,CXJ,-29.1961,-51.1906
668,CXR,12.2333,109.2
669,CYB,19.689,-79.8848
670,CYF,60.1558,-164.273
671,CYI,23.4542,120.404
672,CYO,21.6169,-81.5422
673,CYP,12.0722,124.544
674,CYS,41.1527,-104.819
675,CYU,10.8762,121.064
676,CYX,68.75,161.35
677,CYZ,16.93,121.756
678,CZE,11.4158,-69.6819
679,CZH,18.3696,-88.4307
680,CZL,36.2778,6.6247
681,CZM,20.5242,-86.9264
682,CZN,62.0833,-142.05
683,CZS,-7.5994,-72.7697
684,CZU,9.3375,-75.2828
685,CZX,31.7833,119.95
686,DAB,29.1874,-81.0615
687,DAC,23.8379,90.3948
688,DAD,16.05,108.2
689,DAL,32.8439,-96.8496
690,DAM,33.4139,36.5178
691,DAR,-6.8753,39.2019
692,DAT,45.3666,-102.682
693,DAU,-9.0878,143.195
694,DAX,31.1336,107.419
695,DAY,39.8968,-84.2207
696,DBA,30.4419,69.3597
697,DBO,-32.2183,148.574
698,DBQ,42.4047,-90.7037
699,DBV,42.5631,18.2692
700,DCA,38.849,-77.0438
701,DCF,15.5333,-61.4
702,DCM,43.5538,2.28923
703,DDC,37.7573,-99.9697
704,DDG,40.0242,124.283
705,DEA,40.2483,-74.0007
706,DEC,39.8335,-88.8773
707,DED,30.3167,78.0333
708,DEF,32.4317,48.3989
709,DEL,28.5603,77.1027
710,DEN,39.8396,-104.672
711,DEZ,35.2822,40.1744
712,DFW,32.9222,-97.0409
713,DGA,16.9757,-88.235
714,DGE,-32.5613,149.618
715,DGM,27.0667,105.2
716,DGO,24.1283,-104.527
717,DGT,9.3358,123.301
718,DHM,32.3,76.2667
719,DHN,31.3144,-85.4487
720,DIB,27.4839,95.0208
721,DIE,-12.3461,49.2925
722,DIG,26.1256,109.308
723,DIK,46.8035,-102.802
724,DIL,-8.5533,125.526
725,DIN,38.5686,-81.0596
726,DIR,9.6244,41.8536
727,DIS,-4.21667,12.5
728,DIU,20.7134,70.9217
729,DIY,37.8947,40.2019
730,DJB,-1.6369,103.639
731,DJE,33.8764,10.7792
732,DJG,24.2625,9.4428
733,DJJ,-2.575,140.514
734,DKR,14.7417,-17.4931
735,DLA,4.0133,9.7097
736,DLC,38.9617,121.543
737,DLG,59.0445,-158.513
738,DLH,46.838,-92.1781
739,DLI,11.7501,108.377
740,DLM,36.7125,28.7922
741,DLU,25.5667,100.233
742,DLY,-16.6619,168.38
743,DLZ,43.9667,104.683
744,DMD,-18,138.833
745,DME,55.4025,37.9136
746,DMK,13.9181,100.59
747,DMM,26.4722,49.8058
748,DMU,25.8839,93.7736
749,DND,56.4538,-3.01347
750,DNH,40.2,94.6833
751,DNK,48.368,35.0942
752,DNR,48.589,-2.07757
753,DNZ,37.7667,29.1
754,DOG,19.1833,30.4833
755,DOH,25.2592,51.5658
756,DOK,48.072,37.7426
757,DOM,15.5431,-61.3092
758,DOP,29.217,82.7517
759,DOU,-22.1978,-54.9225
760,DOY,40.0294,-120.107
761,DPL,8.6043,123.348
762,DPO,-41.1726,146.425
763,DPS,-8.7486,115.165
764,DRG,66.0833,-162.767
765,DRO,37.1595,-107.751
766,DRS,51.1688,13.7899
767,DRT,29.3702,-100.918
768,DRW,-12.4159,130.874
769,DSA,53.3954,-1.38243
770,DSM,41.5328,-93.6481
771,DSN,39.8295,109.976
772,DTM,51.5123,7.60451
773,DTW,42.2327,-83.3412
774,DUB,53.4272,-6.24418
775,DUD,-45.9287,170.199
776,DUE,-7.3958,20.8236
777,DUJ,41.1833,-78.8953
778,DUQ,48.7562,-123.711
779,DUR,-29.9736,30.9472
780,DUS,51.2794,6.76481
781,DUT,53.896,-166.535
782,DVL,48.108,-98.9037
783,DVO,7.1292,125.647
784,DWB,-16.1,45.3667
785,DWD,23.9176,45.0811
786,DXB,25.2509,55.3629
787,DYG,29.1333,110.483
788,DYR,64.7358,177.739
789,DYU,38.5785,68.7773
790,DZA,-12.8,45.2833
791,DZN,47.7131,67.7065
792,EAA,64.7667,-141.15
793,EAE,-17.0686,168.381
794,EAL,9.08333,167.333
795,EAM,17.6117,44.4297
796,EAR,40.7236,-99.0151
797,EAS,43.3557,-1.79208
798,EAT,47.4048,-120.21
799,EAU,44.8625,-91.4826
800,EBA,42.7629,10.2383
801,EBB,0.0417,32.4381
802,EBD,13.1597,30.2342
803,EBJ,55.5247,8.55388
804,EBL,36.1797,44.016
805,ECN,35.1597,33.4897
806,EDA,55.9503,-133.656
807,EDI,55.9486,-3.36431
808,EDL,0.5375,35.2783
809,EDO,39.599,27.0221
810,EDR,-14.9,141.617
811,EEK,60.2167,-162.017
812,EFL,38.1181,20.5003
813,EGC,44.8227,0.51524
814,EGE,39.6395,-106.912
815,EGN,13.4833,22.45
816,EGO,50.6406,36.5853
817,EGS,65.2694,-14.3549
818,EGV,45.932,-89.2599
819,EGX,58.2101,-157.366
820,EIB,50.9853,10.485
821,EIE,58.4395,92.1852
822,EIK,59.298,10.4319
823,EIN,51.4463,5.39212
824,EIS,18.4439,-64.5428
825,EJA,7.025,-73.8092
826,EJH,26.2003,36.4758
827,EKO,40.829,-115.78
828,EKS,45.2681,-111.65
829,ELC,-11.9149,135.803
830,ELF,35.0339,-83.7405
831,ELG,30.5686,2.8653
832,ELH,25.4747,-76.685
833,ELI,64.6167,-162.267
834,ELM,42.1633,-76.8973
835,ELP,31.7982,-106.393
836,ELQ,26.3025,43.7703
837,ELS,-33.0361,27.8239
838,ELU,33.5122,6.7842
839,ELV,58.1833,-136.317
840,ELY,39.3043,-114.853
841,EMA,52.8258,-1.33094
842,EMD,-23.5704,148.178
843,EME,53.3893,7.2284
844,EMK,62.785,-164.491
845,ENA,60.5651,-151.244
846,ENE,-8.8,121.6
847,ENF,68.3606,23.4205
848,ENH,30.2875,109.472
849,ENI,34.1167,-89.9395
850,ENS,52.2678,6.89152
851,ENU,6.4756,7.5661
852,ENW,42.5934,-87.9299
853,ENY,36.5965,109.475
854,EOH,6.2231,-75.5886
855,EOZ,7.0631,-69.4942
856,EPR,-33.6819,121.827
857,EQS,-42.9264,-71.1425
858,ERC,39.7117,39.5169
